Mature Lymphocyte	UMLS:C1513026
autologous APRIL CAR T cells	UMLS:C4725789
NKT Cells	UMLS:C2350466
Lymphocytes.abnormal	UMLS:C4551752
IL-15-engineered tumor-infiltrating lymphocytes OBX-115	UMLS:C5706539
GC007F CAR-T Cells	UMLS:C5417841
CD74+ lymphocyte	UMLS:C1267968
PC12 Cells	UMLS:C0085262
Lymphocyte, CD4-Positive	UMLS:C0039215
Oncocyte	UMLS:C0949666
IC19/1563	UMLS:C5666893
DMF5	UMLS:C1510930
Autologous BCMA/TACI-targeted CAR T Cells AUTO2	UMLS:C4725789
Nerve cell	UMLS:C0027882
Autologous Anti-BCMA-CAR Expressing Stem Memory T-cells P-BCMA-101	UMLS:C4684874
SNK-01	UMLS:C5554955
BCMA-specific CAR-expressing CD4+/CD8+ T lymphocytes	UMLS:C4684830
Anti-CD19 CAR-T Cells huCART19	UMLS:C4744702
Dimerizing Agent Regulated Immunoreceptor Complex-expressing CD33-specific Autologous CAR T Cells SC-DARIC33	UMLS:C5666935
Hematopoietic Stem Cells	UMLS:C0018956
Autologous BCMA-specific CAR T-cells MCARH125	UMLS:C5706462
Lymphoid Blood-Forming Cells	UMLS:C1955939
AUTO-3	UMLS:C5206698
cell human lines	UMLS:C0682523
Memory Cell, Immunological	UMLS:C5544464
b-lymphocytes	UMLS:C0004561
Killer Cells	UMLS:C0022688
Autologous PD-1 Nanobody-expressing Anti-Mesothelin CAR-T Cells	UMLS:C5554942
Epithelial cells	UMLS:C0014597
tissue basophil	UMLS:C0024880
autologous TNS9.3.55-transduced CD34-positive cells	UMLS:C3899992
therapeutic gamma delta T lymphocytes	UMLS:C4086901
Lymphocytes Immunoblastic	UMLS:C1317511
IMA-203	UMLS:C5206130
CD4+CD69+ lymphocyte	UMLS:C1267842
Autologous PSMA-4SCAR-expressing T-cells 4SCAR-PSMA	UMLS:C4725933
Autologous Anti-PD-1/CTLA4-targeting Antibodies-expressing EGFR-specific CAR-T Cells	UMLS:C4725929
Th3 Cells	UMLS:C1563926
Cell, Neoplasm Circulating	UMLS:C0027625
CD50+ lymphocyte	UMLS:C1267942
ex vivo anti-CD3/CD28 costimulated, rapamycin-polarized Th1/Tc1 autologous T lymphocytes	UMLS:C2986886
LYL-132	UMLS:C5706544
L cell	UMLS:C0022827
Cellulae aminergicae partis compactae substantiae nigrae [A9]	UMLS:C1183180
BCMA CAR-CD4+/CD8+ T cells	UMLS:C4684830
Pheochromocyte	UMLS:C0376604
Blast cell	UMLS:C0368761
L Cell Line	UMLS:C0022827
G28z.15 NKTs	UMLS:C5203880
Plasma cell precursor	UMLS:C1317625
EFS-ADA Lentiviral Vector-transduced CD34-positive Autologous Lymphocytes	UMLS:C3830334
Labyrinth Supporting Cells	UMLS:C0022891
B Cells, Immature	UMLS:C1512631
TTRNA-xALT cells	UMLS:C4733660
white blood cell (WBC)	UMLS:C0023516
t-cell	UMLS:C0039194
Cell Line, Pheochromocytoma	UMLS:C0085262
CD19-targeted T Cell Antigen Coupler TAC01-CD19	UMLS:C5417884
Autologous NY-ESO-1 TCR-targeted T Lymphocytes	UMLS:C4727621
GSK-3845097	UMLS:C5446938
ACTengine IMA201	UMLS:C4687450
Heterophile leucocyte	UMLS:C0027950
Gavocabtagene Autoleucel	UMLS:C5205547
autologous CISH-inactivated TILs	UMLS:C4726557
Cells, Cultured Neoplastic	UMLS:C0041362
Th2 Cells	UMLS:C0242633
Cells, Hep G2	UMLS:C2717940
Autologous CISH-inactivated TIL	UMLS:C4726557
PA317	UMLS:C5667075
therapeutic ex-vivo-treated autologous central memory T cells	UMLS:C4727553
PC 3 Cell Line	UMLS:C3890720
TAC01 CD19	UMLS:C5417884
RPTR168	UMLS:C5555853
Cells, Endocrine	UMLS:C0229525
Anti-Her-2-CAR Retroviral Vector-Transduced Autologous Peripheral Blood Lymphocytes	UMLS:C2698146
Eosinophil leucocyte	UMLS:C0014467
Leukocyte clumps	UMLS:C1317495
Anti-CD3 OKT3/Anti-EGFR Bispecific Antibody Armed Activated T Lymphocytes	UMLS:C4085964
autologous iC9-CAR19 T cells	UMLS:C4553719
CD8 Enriched Young Autologous Tumor-infiltrating Lymphocytes	UMLS:C5555768
allogeneic EBV-specific cytotoxic T lymphocytes	UMLS:C4684961
phagocytes	UMLS:C0031307
Triple-Positive Activated Lymphocyte	UMLS:C4287595
Autologous Anti-mesothelin PD-1:CD28 Switch Receptor-expressing TRuC-T Cells TC-510	UMLS:C5706514
DC1-induced Antigen-specific Autologous CTLs	UMLS:C4288083
PRIME IL-12	UMLS:C5555853
Cell, Immunologic Accessory	UMLS:C0003315
Gamma Delta T Lymphocytes	UMLS:C1512944
T-cytotoxic cell type 1	UMLS:C0949431
Lisocabtagene Maraleucel	UMLS:C4086001
autologous T lymphocytes expressing NY-ESO-1-specific, enhanced TCRs	UMLS:C4086009
Leukocytes &#x7C; Blood cord &#x7C; Hematology and Cell counts	UMLS:C5170918
IMA101 T cells	UMLS:C4329802
Cultured Neoplastic Cell	UMLS:C0041362
NY-ESO-1-specific TCR T-cells GSK4427296	UMLS:C5706543
CD5+ lymphocyte	UMLS:C4318752
BOXR1030	UMLS:C5666975
cells ganglion	UMLS:C0228071
TIL 1383I T cell receptor-transduced autologous T cells	UMLS:C3640216
Neuroglial Cell	UMLS:C0027836
Mastoid cells	UMLS:C0229423
Villous Lymphocyte	UMLS:C1519986
CAR T-cells AIC100	UMLS:C5417969
Cells, HCT116	UMLS:C1258005
autologous T lymphocytes expressing NY-ESO-1-C259-specific enhanced T cell receptors	UMLS:C4086009
CD10+CD20+ lymphocyte	UMLS:C1267863
Cells, Lymphoid	UMLS:C0086574
Cell, B-Lymphoid Precursor	UMLS:C1512631
CYCD79+ lymphocyte	UMLS:C1267800
cardiomyocytes	UMLS:C0225828
phagocytic cell	UMLS:C0031307
anti-MUC1 CAR-transduced autologous T lymphocytes	UMLS:C4085976
Stem cell	UMLS:C0038250
Autologous Anti-CD19 CAR-T cells 4SCAR19	UMLS:C4724856
Autologous Nectin-4/FAP-targeted CAR-T Cells	UMLS:C5421268
autologous CAR-T Cells Targeting PD-L1 and CD80/CD86	UMLS:C4724905
Autologous MAGE-A4 C1032 TCR-modified CD8alpha T Cells	UMLS:C5206827
inducible IL-12/Anti-NY-ESO-1 TCR-expressing autologous peripheral blood lymphocytes	UMLS:C3827113
Neoplastic Cells, Circulating	UMLS:C0027625
autologous anti-CD19 CAR-T cells SJCAR19	UMLS:C4684890
Anti-PD-1/PD-L1-Antibodies-expressing Autologous GBM-specific CAR-T Cells	UMLS:C4725796
Set of aminergic cells in compact part of substantia nigra [A9]	UMLS:C1183180
CD45RB+ T lymphocyte	UMLS:C4322814
Autologous CD19CAR-CD28-CD3zeta-EGFRt-expressing Tn/mem-enriched T-lymphocytes	UMLS:C4086002
autologous CD19-specific CAR-T cells PZ01	UMLS:C4727036
BOXR 1030	UMLS:C5666975
Autologous Cytotoxic T-lymphocytes Induced with MUC1 Peptide-pulsed Dendritic Cells	UMLS:C4086006
CD8+CD38+ T lymphocyte	UMLS:C4322675
autologous anti-CD19/CD22-CAR-T cells	UMLS:C4684850
polymorphonuclear neutrophils	UMLS:C0027950
MDA Autologous TILs	UMLS:C4727163
Z-CTLs	UMLS:C4724905
hepatic stellate cell	UMLS:C2340138
MDA autologous TILs	UMLS:C4727163
Autologous Tumor-infiltrating Lymphocytes-Memory T-cells	UMLS:C5708224
AUTO 2	UMLS:C4725789
Anti-TRBC1 CAR T-cells AUTO4	UMLS:C5237046
Hematopoietic progenitor cells	UMLS:C0018956
CD123CAR-CD28-CD3zeta-EGFRt Lentiviral-transduced Autologous T Lymphocytes MB-102	UMLS:C5575170
Cells, Hepatic Stellate	UMLS:C2340138
Gavocabtagene autoleucel	UMLS:C5205547
Cells, Myeloid	UMLS:C0887899
YTB 323	UMLS:C5446599
Autologous Anti-NY-ESO-1 TCR/CD8alpha-expressing T-cells GSK3901961	UMLS:C5446937
HeLa-KB Cells	UMLS:C0022539
Polymorphonuclear Leukocyte	UMLS:C0027950
BPX-603	UMLS:C5447541
Autologous EBV-CTL CD19CAR zeta	UMLS:C2981182
Autologous AML-specific CTLs	UMLS:C3831438
Leukocytes &#x7C; Fetus &#x7C; Pleural fluid &#x7C; Hematology and Cell counts	UMLS:C5170930
Progenitors, Common Lymphoid	UMLS:C1955940
CD5+ T lymphocyte	UMLS:C4318752
T-Cell Precursor	UMLS:C1955941
Cells, iNKT	UMLS:C2350467
Anti-BCMA-CAR-4-1BB-CD3zeta-EGFRt SIN Lentiviral Vector-transduced Autologous CD4+/CD8+ T-lymphocytes	UMLS:C4724877
Leukocyte - Lymphocyte (MMHCC)	UMLS:C1522703
type-1 polarized dendritic cell-induced antigen-specific autologous cytotoxic T lymphocytes	UMLS:C4288083
Naturally-Occurring Suppressor T-Cells	UMLS:C1959571
Cell, Cone Photoreceptor	UMLS:C0206428
GPC3-targeted CAR Autologous T Cells	UMLS:C4055459
Tubal air cells set	UMLS:C1183210
Centroblast	UMLS:C1517735
Mother cell	UMLS:C0038250
Anti-GPC3 CAR Autologous T Cells	UMLS:C4055459
Bursa Dependent Lymphocytes	UMLS:C0004561
Autologous Anti-H3.3K27M TCR-expressing T-cells	UMLS:C5707658
autologous GBM-specific CAR-T cells	UMLS:C4725796
Ganglion Cells	UMLS:C0228071
Cells, Hematopoietic Stem	UMLS:C0018956
Autologous Cultured Acute Myeloid Leukemia-specific Cytotoxic T Lymphocytes	UMLS:C3831438
Cones, Retinal	UMLS:C0206428
snti-CD123 CAR mRNA-electroporated autologous T lymphocytes	UMLS:C4085999
Abnormal lymphocytes &#x7C; Blood &#x7C; Hematology and Cell counts	UMLS:C5151348
Suppressor-Effector T-Cells	UMLS:C2355611
CD98+ lymphocyte	UMLS:C1267985
autologous-derived LeY-targeted CAR-T cells	UMLS:C4329333
Autologous CoStAR-TILs ITIL-306	UMLS:C5706479
Killer Cells, Natural	UMLS:C0022688
autologous genetically-modified T cells MAGEA10c796	UMLS:C4287655
IgD B lymphocyte	UMLS:C1292098
Cells, PC-3	UMLS:C3890720
CAR19 T lymphocytes TBI-1501	UMLS:C4725690
AFP-C332 CTLs	UMLS:C4527154
Bone Marrow Stem Cells	UMLS:C1511246
Autologous EGFRt/BCMA-41BBz-targeted CAR T Cells	UMLS:C4724868
TC2 cell	UMLS:C0949432
autologous iC9-CARCD19 T cells	UMLS:C4553719
Autologous CD4 and CD8 Positive Truncated CD19-expressing Antigen Presenting T-cells	UMLS:C4684462
Syncytium	UMLS:C0017526
Variant lymphocytes &#x7C; Cerebral spinal fluid &#x7C; Hematology and Cell counts	UMLS:C5184820
Agranular leukocyte	UMLS:C0023517
Autologous Ovarian Cancer Immunogene-modified T Lymphocytes	UMLS:C4725930
HCT 116 Cells	UMLS:C1258005
autologous T lymphocytes expressing CD22 CARs-expressing tandem TCR-zeta/4-1BB	UMLS:C4085963
Follicular cell of ovary	UMLS:C1182635
Th17 Cells	UMLS:C2936411
Cells, Th1	UMLS:C0242632
Lentiviral b-A(T87Q)-Globin-transduced CD34-positive Cells	UMLS:C4086010
ALECSAT	UMLS:C3827167
Giant Cell, Multinucleated	UMLS:C0017526
4SCAR123 T-cells	UMLS:C4725102
Pre-B-Cell	UMLS:C0312738
T-helper cell	UMLS:C0018894
Autologous Anti-CD19 CAR-CD28 T-cells ET019002	UMLS:C5206845
autologous MAGE-A3-specific, HLA-A*01-restricted T cell receptor gene engineered lymphocytes	UMLS:C3899996
Pillar cell of cochlea	UMLS:C0229470
Autologous Anti-CD4 CAR T-cells LB1901	UMLS:C5557204
Autologous HPV-specific Cytotoxic T Lymphocytes	UMLS:C4733637
brexucabtagene autoleucel	UMLS:C5398046
cells endocrine	UMLS:C0229525
Autologous iC9-expressing CATCH T-cells	UMLS:C5575455
autologous T cells	UMLS:C1711172
spCART-269	UMLS:C5554950
Exhausted T-Cell	UMLS:C3899239
Autologous iC9-deltaNGFR-CD19CAR-CD3zeta-4-1BB-expressing T-lymphocytes	UMLS:C4744852
Autologous IL-12/Multi-targeted Primed T-cells RPTR 168	UMLS:C5555853
Killer Cells	UMLS:C0022686
MDA-MB-231 Cells	UMLS:C5690732
Mononuclear Leukocyte	UMLS:C0023517
MUC-1/WT1 Peptide-loaded Autologous Dendritic Cells	UMLS:C5420827
Cell Line, L	UMLS:C0022827
Autologous CISH-inactivated T-lymphocytes	UMLS:C4726557
Autologous Anti-GD2/PSMA Bispecific 4SCAR-T Cells	UMLS:C5708040
stem cells	UMLS:C0038250
Cells.FMC7	UMLS:C1268459
Cell, Natural Killer	UMLS:C0022688
Autologous Anti-BCMA/CD19 Dual CAR T Cells GC012F	UMLS:C5446552
CD56+ NK lymphocyte	UMLS:C4322669
prolymphocytes	UMLS:C0229614
Abnormal lymphocytes &#x7C; Cerebral spinal fluid &#x7C; Hematology and Cell counts	UMLS:C5151350
Lymphocyte, Pre-B	UMLS:C0312738
Anti-FOLR1 CoStAR-expressing Autologous TILs ITIL-306	UMLS:C5706479
Erythroid cell	UMLS:C1257751
Autologous CAR-mbIL15-Safety Switch T-cells PRGN-3005	UMLS:C4764271
Aggregate of neural crest cells	UMLS:C0815004
Epstein-Barr virus-specific cytotoxic T-lymphocytes	UMLS:C0393073
Obecabtagene autoleucel	UMLS:C5417935
Killer Cell, Lymphocyte-Activated	UMLS:C2350468
Anti-hCD70-CAR Retroviral Vector-transduced Autologous PBLs	UMLS:C4329343
Antineoplastic Immune Cells	UMLS:C4329351
Leukocytes &#x7C; Bile fluid &#x7C; Hematology and Cell counts	UMLS:C5170916
autologous CD123-4SCAR-expressing T cells 4SCAR123	UMLS:C4725102
Cells.HLA-DR+	UMLS:C1440389
killer cells	UMLS:C0022686
Cytoplasmic CD34 blasts	UMLS:C1979650
autologous TCR-transduced MAGE-A4 C1032 T cells	UMLS:C4528709
Differentiated hemal cell	UMLS:C2340284
Cytotoxic T lymphocyte	UMLS:C0039195
LCAR-B38M-transduced CAR-T Cells JNJ-68284528	UMLS:C5575123
autologous cytotoxic T lymphocytes induced with MUC1 gene-transfected dendritic cells	UMLS:C4086005
CV+ lymphocyte	UMLS:C1267798
Progenitor Cells	UMLS:C0038250
Intraepithelial T-Lymphocyte	UMLS:C1512944
Subsets, T-Lymphocyte	UMLS:C0080202
CD73+ lymphocyte	UMLS:C1267967
Cells, Pre-B	UMLS:C0312738
CD6+ lymphocyte	UMLS:C1267850
Muscle Cells	UMLS:C0596981
Immuncell-LC	UMLS:C4331902
Autologous IL-8RB-modified CD70-CAR T-cells	UMLS:C5707294
CIK cells	UMLS:C2348032
Autologous DSG3 Chimeric Autoantibody Receptor T-cells DSG3-CAART	UMLS:C5667586
Cell, Pre-B	UMLS:C0312738
null cell	UMLS:C0024265
Autologous NY-ESO-1-redirected CRISPR-edited T Cells	UMLS:C4727561
ATL 001	UMLS:C5417845
Stem Cells, Hematopoietic	UMLS:C0018956
autologous tumor infiltrating lymphocytes LN-145	UMLS:C4525956
Anti-GD2/Anti-CD56 4SCAR-expressing Bispecific T-cells	UMLS:C5708041
Autologous Colorectal Tumor Antigen-pulsed DC Vaccine	UMLS:C4086004
4H11-28z/fIL-12/EGFRt-expressing Autologous T-lymphocytes	UMLS:C4084782
Pillar cell	UMLS:C0229470
Allogeneic Anti-CD19 1XX-CAR T-cells FT819	UMLS:C5447470
Hepatitis B Virus Antigen Peptides/Hepatitis G2 Cell Protein Lysate-activated Dendritic Cells	UMLS:C4725078
hepatic cell	UMLS:C0227525
autologous anti-Claudin18.2 CAR-T cells	UMLS:C4727694
Basophilic Granulocyte	UMLS:C0004827
T-Lymphocyte Subsets	UMLS:C0080202
Cellulae aminergicae	UMLS:C1183167
CD4+2H4+ lymphocyte	UMLS:C1267841
CD8+ T Lymphocyte	UMLS:C0242629
Cell, CHO	UMLS:C0085080
Autologous Anti-BCMA-CAR-mRNA-transfected CD8-positive T-cells	UMLS:C4745003
Central Memory T Cells	UMLS:C4289823
Autologous Anti-CS1 Hinge-optimized CAR-4-1BB-EGFRt-expressing Memory-enriched T-cells	UMLS:C5205487
Dendritic Epithelial T Cell	UMLS:C4505326
goblet cell	UMLS:C0506994
t cell subset	UMLS:C0080202
Suppressor-Inducer T-Lymphocyte	UMLS:C0162556
GAIA-102	UMLS:C5667007
Therapeutic Gamma-Retroviral Vector M87o-Transduced CD34+ Peripheral Blood Stem Cells	UMLS:C2826113
Lymphocytes, Thymus-Dependent	UMLS:C0039194
cells bone marrow	UMLS:C0005955
MDG1011	UMLS:C4733675
Neuroglia	UMLS:C0027836
T Helper 17 Cells	UMLS:C2936411
Lovotibeglogene Autotemcel	UMLS:C5447474
Autologous Tolerogenic PIpep-loaded Dendritic Cells PIpepTolDC	UMLS:C5447312
Autologous Tumor Infiltrating Lymphocytes LN-145	UMLS:C4525956
hepatocytes	UMLS:C0227525
Cell, 3T3	UMLS:C0085087
Autologous GPC3/NY-ESO-1/AFP specific CD8-positive T-lymphocytes	UMLS:C4725915
Chromatophore	UMLS:C0008572
eosinophil	UMLS:C0014467
anti-NY-ESO-1 TCR retroviral vector-transduced lymphocytes	UMLS:C2983758
IM21 CAR T-cells	UMLS:C5205480
Autologous Syndecan-1-sepcific CAR T-cells	UMLS:C5206589
b cells memory	UMLS:C0682638
Cells, Natural Killer	UMLS:C0022688
autologous CD8-positive PBL sensitized to Drosophila cell-presented melanoma peptides	UMLS:C2987368
autologous SLC45A2-specific cytotoxic T lymphocytes	UMLS:C4727012
Acinus Cell	UMLS:C0596030
t4 cells	UMLS:C0039215
skeletal muscle cell	UMLS:C1704336
SFG.CAR.CD30 Autologous T-lymphocytes	UMLS:C4733635
cells cytotoxic	UMLS:C0022686
Autologous Anti-PSCA-CAR-4-1BB/TCRzeta-CD19t-expressing T-lymphocytes	UMLS:C4763825
Th1 cell	UMLS:C0242632
Th17 Cell	UMLS:C2936411
LB 1901	UMLS:C5557204
CD3+CD25+ lymphocyte	UMLS:C1267818
EBV-specific Cytotoxic T-lymphocytes	UMLS:C0393073
Autologous EGFR806-specific CAR T Cells	UMLS:C4745144
Suppressor-Inducer T-Cell	UMLS:C0162556
hl60 cells	UMLS:C0282549
Cells, Hepatic	UMLS:C0227525
Mesothelial cell	UMLS:C0225335
CYAD-101	UMLS:C4055424
Phagocyte	UMLS:C0031307
Leukocytes &#x7C; Cervix &#x7C; Hematology and Cell counts	UMLS:C5170925
L Cell Lines	UMLS:C0022827
Autologous LCAR-T2C CAR-T Cells	UMLS:C5446540
Central Memory T Lymphocyte	UMLS:C4289823
ECT 204	UMLS:C5556547
Basophil granulocyte	UMLS:C0004827
Cell, Circulating Tumor	UMLS:C0027625
cell kidney	UMLS:C0553257
Cell of epidermis	UMLS:C3496194
Autologous nCTLs	UMLS:C4723770
HSP-CAR30	UMLS:C5555574
chimeric antigen receptor T cells 4SCAR-FRa	UMLS:C4725932
Arachnoidal Cell	UMLS:C1513123
PD-1/PD-L1 Antibody-producing T cells (IgT)	UMLS:C4725796
Basophil, Tissue	UMLS:C0024880
pc12 cell	UMLS:C0085262
MB CART19.1	UMLS:C5417890
Blood Corpuscles, Red	UMLS:C0014792
4S-CD22-CAR-T cell	UMLS:C4725100
Precursor B Cell	UMLS:C0312738
Autologous Anti-HER2 CAR T-cells	UMLS:C5556490
Anti CD123-CAR/CD28-costimulatory Lentiviral Vector-transduced Autologous T Lymphocytes	UMLS:C3896982
Autologous BCMA 41BBz CAR-T Cell JCARH-125	UMLS:C5700405
LCAR-B4822M-02 Cells	UMLS:C5206608
TC510	UMLS:C5706514
Cell Lines, L	UMLS:C0022827
Autologous mbIL-12-expressing Tumor Infiltrating Lymphocytes GT202	UMLS:C5667111
Pre B Cells	UMLS:C0312738
HeLa-KB Cell	UMLS:C0022539
Cell, APUD	UMLS:C0003649
DNR NPC-specific CTLs	UMLS:C3830410
autologous lymphocytes	UMLS:C0677856
Embryonal Carcinoma Cells	UMLS:C0013485
B Cell	UMLS:C0004561
cell sex	UMLS:C0017471
CAR T-cells	UMLS:C4527316
cell normal	UMLS:C1268443
Rapamycin-Polarized Th1/Tc1 Autologous T Lymphocytes	UMLS:C2986886
B-Lymphoid Precursor Cells	UMLS:C1512631
Immunoglobulin Producing Cells	UMLS:C0003273
TAA 05	UMLS:C5666913
autologous iCASP9-CD19-expressing T lymphocytes	UMLS:C4553719
KD 025	UMLS:C5552872
Lymphocytes, Memory T	UMLS:C0682639
Suppressor T Cells, Naturally Occurring	UMLS:C1959571
Autologous Anti-PSMA-CD28-CD137-CD27-CD3z-iCasp9 CAR T-cells 4SCAR-PSMA	UMLS:C4725933
Autologous Anti-CD19CAR-CD28tm/4-1BB/CD3zeta-HER2tG-expressing CD4+/CD8+ T-lymphocytes SCRI-huCAR19v1	UMLS:C4763774
Gavo-cel	UMLS:C5205547
White Cell	UMLS:C0023516
Myocytes	UMLS:C0596981
CD19R:CD28:lentiviral/EGFRt+ T cells	UMLS:C3642265
autologous genetically modified MAGE-A4 C1032 T cells	UMLS:C4528709
Immature Lymphocyte	UMLS:C1440938
anti-NY-ESO-1 TCR gene-engineered lymphocytes	UMLS:C2983758
Cell, TC1	UMLS:C0949431
Clone Cells	UMLS:C0009013
Autologous Dendritic Cells Pulsed with MART-1 (26-35) Peptide	UMLS:C4684836
Autologous Anti-CD22 CAR-expressing T-cells SCRI-CAR22v2	UMLS:C5448063
autologous anti-CD19 CAR TCR-zeta/4-1BB-transduced T lymphocytes BinD19	UMLS:C4725691
Cellulae cholinergicae	UMLS:C1183202
interstitial cells (testicle)	UMLS:C0023602
Anti-Glypican 3-scFvGC33-CAR-expressing T Lymphocytes	UMLS:C4329326
Corpuscle, White Blood	UMLS:C0023516
Autologous MAGE-A10-specific HLA-A2-restricted TCR c796 Gene-engineered Lymphocytes	UMLS:C4287655
Embryonal Carcinoma Stem Cells	UMLS:C0013485
Autologous NYCE T Cells	UMLS:C4727561
ET1402L1-CAR-T cells	UMLS:C4733642
Interstitial Cell of the Testis	UMLS:C0023602
Autologous Lymphocyte	UMLS:C0677856
autologous PRAME-targeting T cell receptor-modified T cells MDG1011	UMLS:C4733675
Melanoma Tumor-Reactive Autologous TIL	UMLS:C1708978
Hu1928-Hu20BB	UMLS:C5237449
Adrenergic cells in area postrema and anterior reticular nucleus [C1, C2]	UMLS:C1183200
Lymphocyte T-cell and B-cell and Natural killer subsets &#x7C; Blood &#x7C; Cell markers	UMLS:C5171653
UniCAR-T	UMLS:C5446544
Th3 Cell	UMLS:C1563926
PHE-885	UMLS:C5418067
TAK-103	UMLS:C5667010
Polykaryocytes	UMLS:C0017526
autologous CD30CAR-CD28-CD3zeta-expressing T lymphocytes	UMLS:C4733635
C-TCR 055	UMLS:C5417979
plasma cell	UMLS:C0032112
helper t cells	UMLS:C0018894
autologous anti-CD19 CAR-expressing T lymphocytes	UMLS:C4086000
NGFR-transduced autologous T lymphocytes	UMLS:C3898205
autologous CTLA4/PD-1-targeting antibodies-expressing mesothelin-CAR-T cells	UMLS:C4724730
RAPA-201	UMLS:C5418087
CAR-T Cells	UMLS:C4527316
Autologous HCC Antigens-specific CD8-positive T-lymphocytes	UMLS:C4725915
Autologous HBV-specific T-cell Receptor-expressing T-lymphocytes SCG101	UMLS:C5706400
Retinal Cone Photoreceptor	UMLS:C0206428
CD3+DR+ lymphocyte	UMLS:C1267834
LYL797	UMLS:C5706365
Autologous Human OC-IgT Cells	UMLS:C4725930
Type-1 Polarized DC-induced Antigen-specific Autologous CTLs	UMLS:C4288083
Anti-NY-ESO-1 TCR LV-transduced Autologous T-Cells TAEST16001	UMLS:C4687729
Autologous Bone Marrow-derived CD34/CXCR4-positive Stem Cells AMR-001	UMLS:C3641664
Neoplastic Cells, Cultured	UMLS:C0041362
Tumor-Infiltrating T Follicular Helper Cell	UMLS:C5447417
SNK01	UMLS:C5554955
CD19 CAR-T Cells ARI-0001	UMLS:C5555879
LAK Cell	UMLS:C0022687
Intraepithelial T Lymphocytes	UMLS:C1512944
Cells, Allogeneic [EXT]	UMLS:C3485979
Cytokine Induced Killer Cells	UMLS:C2348032
Autologous HPV-16 E6 TCR T Cells	UMLS:C4726563
MAGE-A3/A6 TCR Engineered T-lymphocytes	UMLS:C4525866
OBX-115	UMLS:C5706539
Autologous Clonal Neoantigen T Cells ATL001	UMLS:C5417845
Autologous Enhanced NY-ESO-1 TCR Engineered T-cells GSK4427296	UMLS:C5706543
Helper Cell	UMLS:C0018894
Set of neuroglial cells	UMLS:C0027836
ROR1 CAR-specific Autologous T-Lymphocytes	UMLS:C3896611
TCR-specific, alpha fetoprotein-enhanced autologous T lymphocytes	UMLS:C4527154
Memory T Lymphocytes	UMLS:C0682639
Cells &#x7C; Left anterior chamber &#x7C; NEI eyeGENE slit lamp biomicroscopy	UMLS:C5157922
Mouse Leukocyte	UMLS:C1522639
B lymphocytes &#x7C; Bone marrow &#x7C; Cell markers	UMLS:C5154003
Cells, Th3	UMLS:C1563926
Leucocytes	UMLS:C0023516
Neurone	UMLS:C0027882
Autologous Anti-GPRC5D-CAR-4-1BB-expressing T-cells MCARH109	UMLS:C5447112
cells leydigs	UMLS:C0023602
Autologous CD19CAR-CD3zeta-4-1BB-expressing T-lymphocytes	UMLS:C4725911
AMR-001	UMLS:C3641664
THP 1 Cells	UMLS:C4505192
CD123R(EQ)28zeta/EGFRt+ T Cells	UMLS:C3896982
Cell Line, Hep G2	UMLS:C2717940
anti-CD22-CAR m971-BBz lentiviral vector-transduced autologous T lymphocytes	UMLS:C3900029
autologous lymphoid effector cells specific against tumor cells	UMLS:C3827167
Young Autologous Tumor Infiltrating Lymphocytes	UMLS:C4745321
Ganglion cell	UMLS:C0228071
CD4+CD8+ lymphocyte	UMLS:C1267843
Autologous APRIL CAR T Cells	UMLS:C4725789
Tr1 Cell	UMLS:C4284002
RD14-01	UMLS:C5706526
anti-p53 T-cell receptor-transduced peripheral blood lymphocytes	UMLS:C5552636
Abnormal Lymphocyte cell	UMLS:C4551752
CNCT19	UMLS:C5446546
Lymphocytes &#x7C; Fetus &#x7C; Pleural fluid &#x7C; Hematology and Cell counts	UMLS:C5171662
Suppressor enhancer T lymphocyte	UMLS:C2337234
Cardiac muscle cell	UMLS:C0225828
PD-1 knockout autologous T cells	UMLS:C4288532
Prolymphocyte	UMLS:C0229614
CD87+ lymphocyte	UMLS:C1267977
Basophils+Eosinophils+Monocytes	UMLS:C1148303
Activated T cells lymphocytes	UMLS:C1440937
antigen presenting cell	UMLS:C0003315
CD5+CD19+ Lymphocyte	UMLS:C0487156
Orvacabtagene Autoleucel	UMLS:C4687977
anti-CD123-CD28-CD137-CD27-CD3z-iCasp9 CAR T cells 4SCAR123	UMLS:C4725102
Set of aminergic cells in ventral tegmental area [A10]	UMLS:C1183184
CRISPR-Cas9-mediated Gene-edited Anti-mesothelin CAR-T Cells	UMLS:C4764291
Autologous Anti-CD19 CART Cells SJCAR19	UMLS:C4684890
Anti-ALPP CAR-expressing Retroviral Vector-transduced Autologous T Cells	UMLS:C5555589
FCARH143	UMLS:C4684830
cell t helper	UMLS:C0018894
ATA129	UMLS:C5700403
IL13 [EQ]BBzeta/truncated CD19[t]+ Naive and Memory T Cells	UMLS:C4683836
LN 145-S1	UMLS:C5417988
NK cell	UMLS:C0022688
autologous GPC3-CAR T cells	UMLS:C4329326
Eosinophils	UMLS:C0014467
PA3 17	UMLS:C5667075
Suppressor T Lymphocytes, CD8 Positive	UMLS:C1956157
AFPC332	UMLS:C4527154
cho cells	UMLS:C0085080
CD171 CAR+ T Cells	UMLS:C3900004
oncocytes	UMLS:C0949666
Cell, Caco-2	UMLS:C0282560
histocytes	UMLS:C0019612
Germ Cells	UMLS:C0017471
Cones	UMLS:C0206428
