Disease, Biliary Tract	UMLS:C0005424
Female Adnexal Tumor of Probable Wolffian Origin	UMLS:C1520159
Kidney Diseases	UMLS:C0022658
congenital disorder	UMLS:C0242354
vascular arterial disease	UMLS:C0852949
Syndromes	UMLS:C0039082
voice disorder	UMLS:C0042940
psychology	UMLS:C1524060
gingiva disorder	UMLS:C0017563
HEART VALVE DISORDERS	UMLS:C0018824
diseases vein	UMLS:C0235522
EYE DISORDER (NOS)	UMLS:C0015397
pancreas diseases	UMLS:C0030286
circulatory disorders system	UMLS:C0728936
Anterior horn cell disease, unspecified	UMLS:C0154681
Schaumann Disease	UMLS:C0036202
Bladder--Diseases	UMLS:C0005686
Phosphorus Metabolic Disorder	UMLS:C0031707
Disorder, Immune System	UMLS:C0021053
ear diseases	UMLS:C0013447
Reproductive System Disease	UMLS:C0178829
lymphadenopathy	UMLS:C0497156
Motor Neuron Disease	UMLS:C0085084
appetite disorder	UMLS:C0003621
Genital Diseases, Female	UMLS:C0017411
Disorders of the orbit	UMLS:C0029182
Duodenal Disease	UMLS:C0013289
Chronic myeloproliferative disease NOS	UMLS:C1292778
airways disease	UMLS:C0699949
DISORDER SKIN (NOS)	UMLS:C0037274
Lipomatous Neoplasm	UMLS:C0206631
Malignant Lymphogranuloma	UMLS:C0019829
Urinary Bladder Diseases	UMLS:C0005686
Eye Disorders	UMLS:C0015397
Sick Role	UMLS:C0037051
pathological disorder	UMLS:C0030660
Mature B-Cell Lymphoma	UMLS:C1334634
DISORDER RESPIRATORY SYSTEM	UMLS:C0035204
Platelet Disorder, Blood	UMLS:C0005818
disease musculoskeletal system	UMLS:C0026857
Rectal Disorders	UMLS:C0034882
respiratory system disorder	UMLS:C0035242
disorder types	UMLS:C0457464
Radiation-Induced Abnormalities	UMLS:C1527225
Larynx Disease	UMLS:C0023051
cardiac disorders	UMLS:C0018799
Germinoblastomas	UMLS:C0024299
diseases eyelid of	UMLS:C0015423
COAGULOPATHY	UMLS:C0005779
Otological Disease	UMLS:C0013447
type leukemia	UMLS:C0023418
leukemia myelogenous	UMLS:C0023470
Gynecologic Disease	UMLS:C0017411
chronic alcohol abuse	UMLS:C0001973
disorders larynx	UMLS:C0023051
Due To	UMLS:C0678226
Tongue--Diseases	UMLS:C0040409
alcohol dependency	UMLS:C0001973
Immunologic diseases	UMLS:C0021053
Disorder of central nervous system NOS	UMLS:C0007682
recur	UMLS:C0034897
nails disease	UMLS:C0027339
Jaw Diseases	UMLS:C0022362
Cardiovascular Diseases	UMLS:C0007222
jaw diseases	UMLS:C0022362
Lipomatous Tumor	UMLS:C0206631
LEUKEMIA LYMPHOCYTIC	UMLS:C0023448
Diseases, Lacrimal Apparatus	UMLS:C0022904
DISEASES OF THE BLOOD AND BLOOD-FORMING ORGANS	UMLS:C0018939
Lymphadenopathy	UMLS:C0497156
intestinal disorder	UMLS:C0021831
NEOPLASM NOS	UMLS:C0027651
diseases disorders heart	UMLS:C0018799
CIRCULATORY SYSTEM DISORDER (NOS)	UMLS:C0728936
disorders respiratory	UMLS:C0035204
Tumor	UMLS:C0027651
Cerebrovascular Diseases	UMLS:C0007820
Disorder, Blood Coagulation	UMLS:C0005779
disease tract urinary	UMLS:C0042075
Unspecified disorder of mineral metabolism	UMLS:C0154260
Immune dysfunction	UMLS:C0021053
Tumors, Giant Cell	UMLS:C0017525
Kidney disease	UMLS:C0022658
Disorder, hemostasis	UMLS:C0005779
CRISP Thesaurus	UMLS:C1140093
cerebrovascular disorders	UMLS:C0007820
neoplasms	UMLS:C0027651
urethral disorder	UMLS:C0041969
lymphatic disease	UMLS:C0024228
Disorder of Amino Acid Metabolism	UMLS:C0002514
Premenstrual Syndrome	UMLS:C0033046
THYMOMA	UMLS:C0040100
NEOPLASIA	UMLS:C0027651
electrolyte fluid disorder	UMLS:C0267994
Neoplasms, Bone	UMLS:C0005967
Diseases, Bronchial	UMLS:C0006261
FATWO Female adnexal tumor of probable Wolffian origin	UMLS:C1520159
Odontogenic Tumor	UMLS:C0028880
lymphatic disorder	UMLS:C0024228
Pleural Disorders	UMLS:C0032226
susceptibility	UMLS:C0012655
CNS Disease	UMLS:C0007682
Sickle Cell Nephropathy	UMLS:C0238305
Lymphoblastoma	UMLS:C0079748
amino acid metabolism disorders	UMLS:C0002514
Germ cell tumor	UMLS:C0205851
hereditary diseases	UMLS:C0019247
blood vessel tumors	UMLS:C4722524
Nervous System Diseases	UMLS:C0027765
lymphocytic leukaemia	UMLS:C0023448
Myelodysplastic syndrome, unspecified	UMLS:C3463824
Hodgkin`s disease	UMLS:C0019829
disease of adrenal gland	UMLS:C0001621
germ cell neoplasm	UMLS:C0205851
glomerular disease	UMLS:C0268731
endocrine diseases	UMLS:C0014130
communicable diseases	UMLS:C0009450
CEREBRAL VASCULAR DISTURBANCE (NOS)	UMLS:C0007820
Joint Tuberculosis	UMLS:C0022415
illness behaviour	UMLS:C0037051
nutrition disease	UMLS:C3714509
vascular disease	UMLS:C0042373
Urological Diseases	UMLS:C0042075
Paranasal sinuses--Diseases	UMLS:C0030469
Diseases, Urologic	UMLS:C0042075
Adrenal gland disease	UMLS:C0001621
mesothelial neoplasm	UMLS:C3714739
Processes, Pathologic	UMLS:C0030660
trophoblastic tumor	UMLS:C0041182
Parathyroid Disorder	UMLS:C0030517
VEIN DISORDER	UMLS:C0235522
Sick	UMLS:C0221423
Bones--Tumors	UMLS:C0005967
Pituitary gland--Diseases	UMLS:C0032002
Crystal Arthritis	UMLS:C0152087
bowel disease	UMLS:C0021831
Testicular Disorder	UMLS:C0039584
Motor System Diseases	UMLS:C0085084
disorder of orbit	UMLS:C0029182
Parathyroid Disease	UMLS:C0030517
Neuroepithelial Neoplasm	UMLS:C0206715
Cancer	UMLS:C0006826
Syndromes, Dysmyelopoietic	UMLS:C3463824
Phosphorus Disorders	UMLS:C0031707
reproductive system disorder	UMLS:C0178829
lacrimal disorder	UMLS:C0022904
kidney disease	UMLS:C0022658
kidney disorders	UMLS:C0022658
Lymphatic vessel tumour	UMLS:C0206619
susceptibilities	UMLS:C0012655
Arthropathies, Crystal	UMLS:C0152087
diseases tract urinary	UMLS:C0042075
odontogenic tumour	UMLS:C0028880
Bone Neoplasms	UMLS:C0005967
bronchiolar diseases	UMLS:C0264364
Gland Diseases, Adrenal	UMLS:C0001621
psychiatric disorders	UMLS:C0004936
cns disorder	UMLS:C0007682
dermatologic disease	UMLS:C0037274
Sarcoidosis	UMLS:C0036202
tongue disorder	UMLS:C0040409
diseases of the tongue	UMLS:C0040409
spleen disorder	UMLS:C0037997
Neoplasm of the Germ Cell	UMLS:C0205851
intestinal disease	UMLS:C0021831
musculoskeletal diseases	UMLS:C0026857
DISORDER ANORECTAL (NOS)	UMLS:C0687707
Lymphomas	UMLS:C0024299
Temporomandibular Disorder	UMLS:C0039494
DISORDER RENAL	UMLS:C0022658
diseases of the seminal vesicles	UMLS:C0268896
Pharyngeal Disease	UMLS:C0031345
bones disorders	UMLS:C0005940
orphan disease/drug	UMLS:C0178786
Pituitary Disease	UMLS:C0032002
economics	UMLS:C0013557
Lymphatic Vessel Neoplasm	UMLS:C0206619
Bone Diseases	UMLS:C0005940
Medicine, Preventive	UMLS:C0033110
Brain Vascular Disorder	UMLS:C0007820
Acinar Cell Tumor	UMLS:C0334390
laryngeal disorder	UMLS:C0023051
connective tissue disorders	UMLS:C0009782
Splenic Diseases	UMLS:C0037997
Tumor of Muscle	UMLS:C0282606
gastrointestinal disorders	UMLS:C0017178
disorder joint temporomandibular	UMLS:C0039494
disease gastrointestinal tract	UMLS:C0017178
Respiratory System Disorder	UMLS:C0035204
Diseases, Nervous System	UMLS:C0027765
Blood vessel tumour	UMLS:C4722524
disease disorders nail	UMLS:C0027339
pancreatic disorder	UMLS:C0030286
URINARY TRACT DISORDER OF	UMLS:C0042075
Tumor, Giant Cell	UMLS:C0017525
blood clotting disorder	UMLS:C0005779
genetic disorder syndrome	UMLS:C0019247
Disease, Pharynx	UMLS:C0031345
disease etiology	UMLS:C1314792
Roles, Sick	UMLS:C0037051
lipomatous neoplasm	UMLS:C0206631
contagious diseases	UMLS:C0009450
platelet disorders	UMLS:C0005818
Communicative Disorders	UMLS:C0009460
Fluid and electrolyte disorders	UMLS:C0267994
Genetic Diseases	UMLS:C0019247
viral disorder	UMLS:C0042769
METABOLIC DISORDERS: GENERAL	UMLS:C0025517
gastrointestinal diseases	UMLS:C0017178
Clinical Data Interchange Standards Consortium Terminology	UMLS:C1880104
communication disorders	UMLS:C0009460
heritable disorder	UMLS:C0019247
Epithelial Cell Neoplasm	UMLS:C1368683
Neoplasms, Nerve Sheath	UMLS:C0206727
None or Not Applicable	UMLS:C1272460
trophoblastic neoplasms	UMLS:C0041182
Wolffian Adnexal Neoplasm	UMLS:C1520159
disease vulnerability	UMLS:C0012655
schaumann syndrome	UMLS:C0036202
Alcoholic Intoxication, Chronic	UMLS:C0001973
disorders endocrine glands	UMLS:C0014130
ALCOHOLISM	UMLS:C0001973
IMMUNE DISORDER (NOS)	UMLS:C0021053
Lymphoblastic lymphosarcoma	UMLS:C0079748
Peritoneal Disorder	UMLS:C0031142
alcoholism	UMLS:C0001973
rectum disease	UMLS:C0034882
predisposition	UMLS:C0012655
Dx	UMLS:C0011900
Diseases, Breast	UMLS:C0006145
Unspecified myeloid leukemia	UMLS:C0023470
Cell Neoplasm, Squamous	UMLS:C0206720
disorders pharynx	UMLS:C0031345
Health	UMLS:C0018684
Endocrine Diseases	UMLS:C0014130
Pulp Disease, Dental	UMLS:C0011405
damage liver	UMLS:C0151763
Disease, Immunologic	UMLS:C0021053
disorders tonsil	UMLS:C0272380
Pediatric Disease	UMLS:C0679381
Lymphoid Leukemias	UMLS:C0023448
Disease, Laryngeal	UMLS:C0023051
disorders parathyroid	UMLS:C0030517
Muscles--Tumors	UMLS:C0282606
Skin Disease	UMLS:C0037274
Squamous Cell Neoplasms	UMLS:C0206720
Dermatoses	UMLS:C0037274
pharynx disorder	UMLS:C0031345
plant disease	UMLS:C0032080
gynecological disorders	UMLS:C0017411
HBLRR	UMLS:C0220991
CMPD	UMLS:C1292778
Blood coagulation disorders	UMLS:C0005779
Illness, Chronic	UMLS:C0008679
Granuloma, Malignant	UMLS:C0019829
Disorder, Temporomandibular	UMLS:C0039494
Neurologic Disorder	UMLS:C0027765
Diseases, Pharyngeal	UMLS:C0031345
Infectious Diseases and Manifestations	UMLS:C0009450
Valvular Heart Disease	UMLS:C0018824
Disease, Chronic	UMLS:C0008679
Intestines--Diseases	UMLS:C0021831
DISORDER TONGUE	UMLS:C0040409
Blood Platelet Disorders	UMLS:C0005818
Myelocytic Leukemia	UMLS:C0023470
disorder urinary tract	UMLS:C0042075
endocrine system disorder	UMLS:C0014130
Psychiatric Illnesses	UMLS:C0004936
Virus Infection	UMLS:C0042769
ailment	UMLS:C0221423
immunologic disease	UMLS:C0021053
CARDIOVASCULAR DISORDER (NOS)	UMLS:C0007222
causes	UMLS:C0015127
Lymphoid Leukemia	UMLS:C0023448
diabete insipidus	UMLS:C0011848
Diseases, Biliary Tract	UMLS:C0005424
Unknown	UMLS:C0439673
Infectious	UMLS:C0009450
Benign Lymphogranulomatosis	UMLS:C0036202
HODGINS	UMLS:C0019829
musculoskeletal disorder	UMLS:C0026857
Splenic Disorder	UMLS:C0037997
gum disorder	UMLS:C0017563
Soft Tissue Disorder	UMLS:C0263978
Radiation	UMLS:C0851346
respiratory disease	UMLS:C0035242
Dental Pulp Disorder	UMLS:C0011405
Virus Infections	UMLS:C0042769
Cell Neoplasms, Squamous	UMLS:C0206720
MALIGNANCIES	UMLS:C0006826
unknown	UMLS:C0439673
Digestive System Disorder	UMLS:C0017178
Myocardiopathy	UMLS:C0878544
Immune Disease	UMLS:C0021053
deficiency enzymes	UMLS:C0149676
hodgkin disease (HD)	UMLS:C0019829
Disorder of pericardium	UMLS:C0265122
Intracranial Vascular Disorders	UMLS:C0007820
mental illness	UMLS:C0004936
NEOPLASM	UMLS:C0027651
Mental Illness	UMLS:C0004936
Pharyngeal Disorder	UMLS:C0031345
Mental retardation	UMLS:C0025362
Preventive medicine	UMLS:C0033110
Diseases and pests	UMLS:C0868948
CNS Diseases	UMLS:C0007682
ADRENAL DISEASE, NOS	UMLS:C0001621
nutrition disorders	UMLS:C3714509
Disease Susceptibility	UMLS:C0012655
Jaws--Diseases	UMLS:C0022362
Periodontal Disorder	UMLS:C0031090
Tumor of Adipose Tissue	UMLS:C0206631
Skin--Diseases	UMLS:C0037274
Gum Disease	UMLS:C0017563
Coagulation Disorders, Blood	UMLS:C0005779
chronic disease/disorder	UMLS:C0008679
Calcium Metabolism Disorders	UMLS:C0006705
Lymphogranulomas, Malignant	UMLS:C0019829
types of disorders	UMLS:C0457464
Disorder, Temporomandibular Joint	UMLS:C0039494
diseases adrenal glands	UMLS:C0001621
Communication impairment	UMLS:C0009460
diseases of the nails	UMLS:C0027339
thymomas	UMLS:C0040100
Fibroepithelial Neoplasms	UMLS:C0206649
Clinical Trial Data Commons Property Terminology	UMLS:C5420019
Bladder Disorder	UMLS:C0005686
Personal History of Other Hematologic Disorder	UMLS:C5669529
urogenital disorders	UMLS:C0080276
Abnormality of the anterior horn cells	UMLS:C0154681
Adipose Tissue Neoplasm	UMLS:C0206631
Illness, Mental	UMLS:C0004936
Communicable diseases	UMLS:C0009450
intestine disorder	UMLS:C0021831
Wolffian Duct Tumor	UMLS:C1520159
Berylliosis	UMLS:C0005138
disease musculoskeletal	UMLS:C0026857
predicted outcome (prognosis)	UMLS:C0033325
Disease	UMLS:C0012634
Disorders of urea cycle metabolism	UMLS:C0154246
communicative disorder	UMLS:C0009460
Dermatosis	UMLS:C0037274
Disease, Pituitary	UMLS:C0032002
Laryngeal Diseases	UMLS:C0023051
Wolffian adnexal tumor	UMLS:C1520159
Heart valve disease	UMLS:C0018824
Neoplasm of Adipose Tissue	UMLS:C0206631
Infectious diseases	UMLS:C0009450
disorder physical	UMLS:C0683323
Central Nervous System Diseases	UMLS:C0007682
Unspecified disorders of nervous system	UMLS:C0027765
Blood platelet disorders	UMLS:C0005818
diseases pericardium	UMLS:C0265122
CTS-API Disease Broad Category Terminology	UMLS:C4527427
Cutaneous disorders	UMLS:C0037274
Cardiovascular disease	UMLS:C0007222
Neonatal Research Network Terminology	UMLS:C3274563
circulatory system disease	UMLS:C0728936
Leukemia, Myeloid	UMLS:C0023470
hodgkin's lymphoma disease	UMLS:C0019829
Disease, Tooth	UMLS:C0040435
Motor neuron disease	UMLS:C0085084
Voice Disorder	UMLS:C0042940
CTRP Terminology	UMLS:C3899741
communication disorder	UMLS:C0009460
SYNDROME PREMENSTRUAL	UMLS:C0033046
Unspecified diseases of blood and blood-forming organs	UMLS:C0018939
Lower motor neuron disease	UMLS:C0270764
Amino acid metabolism, Inborn errors of	UMLS:C0002514
cell germ tumours	UMLS:C0205851
disorder heart	UMLS:C0018799
Giant cell tumors	UMLS:C0017525
nail diseases	UMLS:C0027339
Myelodysplastic syndrome	UMLS:C3463824
diseases disorders nail	UMLS:C0027339
Arthritides, Crystalline	UMLS:C0152087
Study of epidemiology	UMLS:C0699910
Diseases, Tooth	UMLS:C0040435
polyp	UMLS:C0032584
disorders veins	UMLS:C0235522
Cardiovascular Disease	UMLS:C0007222
cerebral vascular disorders	UMLS:C0007820
Disorders, Respiration	UMLS:C0035204
Cutaneous Adnexal Neoplasm	UMLS:C0345988
duodenum disorder	UMLS:C0013289
tonsil disease	UMLS:C0272380
respiratory disorder	UMLS:C0035204
Joints--Diseases	UMLS:C0022408
central diseases nervous system	UMLS:C0007682
Central Nervous System Disease	UMLS:C0007682
Apparatus Diseases, Lacrimal	UMLS:C0022904
testis disease	UMLS:C0039584
SARCOIDOSIS	UMLS:C0036202
dermatological disorders	UMLS:C0037274
Nervous System Disorders	UMLS:C0027765
PARATHYROID DYSFUNCTIUON	UMLS:C0030517
hodgkin's lymphomas	UMLS:C0019829
Kidney Disorder	UMLS:C0022658
laryngeal disorders	UMLS:C0023051
urinary bladder disorder	UMLS:C0005686
urological diseases	UMLS:C0042075
Coagulation defects	UMLS:C0005779
Disease, Hodgkin's	UMLS:C0019829
Remission	UMLS:C0544452
female genital disorders	UMLS:C0017411
Neoplasm of Nerve Sheath	UMLS:C0206727
ophthalmopathy	UMLS:C0015397
Immune disorder	UMLS:C0021053
cells giant tumor	UMLS:C0017525
urologic diseases	UMLS:C0042075
Urinary Tract Disorders	UMLS:C0042075
obstructive nephropathy	UMLS:C0149939
Perinatal Disorder	UMLS:C0270075
Acinar Cell Neoplasm	UMLS:C0334390
Genetic knowledge reference:Type:Pt:Bld/Tiss:Nom:Molgen	UMLS:C3263357
physical disorders	UMLS:C0683323
Neoplasms, Germ Cell	UMLS:C0205851
calcium disorders	UMLS:C0302590
Chronic Alcoholic Intoxication	UMLS:C0001973
Memory Disorder	UMLS:C0025261
disorders urological	UMLS:C0042075
neurodegenerative disorder	UMLS:C0524851
Epithelial Cell Neoplasms	UMLS:C1368683
MENINGIOMA	UMLS:C0025286
Disease, Intestinal	UMLS:C0021831
AMINOACIDOPATHY	UMLS:C0002514
Female adnexal tumor of probable Wolffian origin	UMLS:C1520159
Skin Conditions	UMLS:C0037274
Rectal Diseases	UMLS:C0034882
Intracranial Vascular Disease	UMLS:C0007820
DISORDER PARATHYROID	UMLS:C0030517
Leukemias, Myelogenous	UMLS:C0023470
PLATELET DISORDER	UMLS:C0005818
Arthropathy, Crystalline	UMLS:C0152087
Arthropathy, unspecified, site unspecified	UMLS:C0022408
cancers	UMLS:C0006826
Neoplasm, Neuroepithelial	UMLS:C0206715
central disease nervous system	UMLS:C0007682
Disease, Otologic	UMLS:C0013447
disorder pediatrics	UMLS:C0679381
crystal arthropathies	UMLS:C0152087
Bone Disorders	UMLS:C0005940
Germ Cell Tumor	UMLS:C0205851
pituitary disorder	UMLS:C0032002
Clusters, Symptom	UMLS:C0039082
rare disease	UMLS:C0678236
Behaviors, Adaptive	UMLS:C0085880
Enzyme Deficiency	UMLS:C0149676
Psychiatric Illness	UMLS:C0004936
Orthopedic Disorders	UMLS:C0026857
acid amino disorders	UMLS:C0002514
Trophoblastic Neoplasm	UMLS:C0041182
Hodgkin Granuloma	UMLS:C0019829
Skin adnexal neoplasm	UMLS:C0345988
Diseases, Periapical	UMLS:C0031028
peritoneal disorder	UMLS:C0031142
Miliary Lupoid of Boeck	UMLS:C0036202
rotor's syndrome	UMLS:C0220991
voice problem	UMLS:C0042940
lips diseases	UMLS:C0023760
Thesaurismosis	UMLS:C0025517
Spleen Disorder	UMLS:C0037997
Hodgkins Lymphoma	UMLS:C0019829
Hepatocerebral Encephalopathy	UMLS:C0019151
BOECK SARCOID	UMLS:C0036202
Diseases, Female Genital	UMLS:C0017411
Tumor of Germ Cell	UMLS:C0205851
Adipose Tissue Neoplasms	UMLS:C0206631
Rare Disorder	UMLS:C0678236
Blood Disease	UMLS:C0018939
Lacrimal System Disorder	UMLS:C0022904
disorder bilirubin metabolism	UMLS:C0268305
hepatic encephalopathy	UMLS:C0019151
respiratory system diseases	UMLS:C0035242
myelogenous leukaemia	UMLS:C0023470
disorder nail	UMLS:C0027339
type disease	UMLS:C0457464
Heart Disorder	UMLS:C0018799
Disease susceptibility	UMLS:C0012655
Sarcoid NOS	UMLS:C0036202
PLEURAL DISORDER	UMLS:C0032226
System Diseases, Endocrine	UMLS:C0014130
disease veins	UMLS:C0235522
Biliary tract disease	UMLS:C0005424
Hodgkin Disease	UMLS:C0019829
lymphadenopathies	UMLS:C0497156
Schaumann's Syndrome	UMLS:C0036202
Thrombocyte disorders	UMLS:C0005818
Tuberculous Arthritis	UMLS:C0022415
artery diseases	UMLS:C0852949
tmj disorder	UMLS:C0039494
Renal Disorder	UMLS:C0022658
RENAL AMYLOIDOSIS	UMLS:C0268382
Plant Disease	UMLS:C0032080
neurodegenerative disease	UMLS:C0524851
Temporomandibular Joint Diseases	UMLS:C0039494
Parathyroid Gland Disorders	UMLS:C0030517
Peritoneal Diseases	UMLS:C0031142
Nail Disease	UMLS:C0027339
Neurological disorder	UMLS:C0027765
diseases nutritional	UMLS:C3714509
urinary system disorders	UMLS:C0042075
GYNECOLOGIC DISORDERS	UMLS:C0017411
infectious diseases	UMLS:C0009450
Cutaneous Disorder	UMLS:C0037274
GDC Terminology	UMLS:C4763808
Diseases, Gastrointestinal	UMLS:C0017178
Communicable Diseases	UMLS:C0009450
Heart Diseases	UMLS:C0018799
mast cell tumors	UMLS:C0334664
cerebral vascular disorder	UMLS:C0007820
arterial vascular disease	UMLS:C0852949
Dysmyelopoietic Syndrome	UMLS:C3463824
Premenstrual syndrome	UMLS:C0033046
Neonatal Disorder	UMLS:C0021290
syndrome genetic disorder	UMLS:C0019247
Disorders, Congenital	UMLS:C0242354
disease heart valves	UMLS:C0018824
Renal amyloidosis	UMLS:C0268382
Pathology processes	UMLS:C0677042
Hematologic and Lymphocytic Disorder	UMLS:C0018939
DISORDER CARDIOVASCULAR (NOS)	UMLS:C0007222
adrenal gland disease	UMLS:C0001621
injury from an external force	UMLS:C3263723
poisoning	UMLS:C0032343
Infection, Virus	UMLS:C0042769
eye disease	UMLS:C0015397
Radiation-Induced Disorder	UMLS:C1527225
disease/disorder proneness/risk	UMLS:C0012655
degenerative neurologic diseases	UMLS:C0524851
Prognoses	UMLS:C0033325
disorder etiology	UMLS:C1314792
Larynx Diseases	UMLS:C0023051
Disease of the joints	UMLS:C0022408
TMJ Diseases	UMLS:C0039494
Appetite disorders	UMLS:C0003621
hernias	UMLS:C0019270
nutritional problem	UMLS:C3714509
disorders pituitary	UMLS:C0032002
Disorder, Hypophyseal	UMLS:C0032002
diseases gastrointestinal	UMLS:C0017178
Larynx--Diseases	UMLS:C0023051
Malignancies	UMLS:C0006826
Alcohol dependence	UMLS:C0001973
Confederated ICDC Terminology	UMLS:C5237192
Myomatous Tumor	UMLS:C0282606
neoplastic syndrome	UMLS:C0027651
disease tmj	UMLS:C0039494
HODGKIN LYMPHOMA	UMLS:C0019829
RENAL DISORDER	UMLS:C0022658
Hodgkin's disease	UMLS:C0019829
portal-systemic encephalopathy	UMLS:C0019151
Viral infections	UMLS:C0042769
Disturbances of histidine metabolism	UMLS:C0268512
TEMPORAL MANDIBULAR JOINT DISORDER	UMLS:C0039494
Neoplasia	UMLS:C0027651
Intracranial Vascular Diseases	UMLS:C0007820
nerve sheath tumour	UMLS:C0206727
Adaptive Behaviors	UMLS:C0085880
malignant tumours	UMLS:C0006826
disorders of calcium metabolism	UMLS:C0006705
radiation	UMLS:C0851346
eyelid disorder	UMLS:C0015423
birth disorder	UMLS:C0242354
Mesothelial Tumor	UMLS:C3714739
Leukemias, Granulocytic	UMLS:C0023470
nail disease	UMLS:C0027339
DISORDER SLEEP	UMLS:C0851578
Hereditary Disease	UMLS:C0019247
Motor Neuron Disease, Lower	UMLS:C0270764
Adaptive Behavior	UMLS:C0085880
morbidities	UMLS:C0026538
Behavior-Related Disorder	UMLS:C0004930
disorders of magnesium metabolism	UMLS:C0012716
PANCREAS DISORDER	UMLS:C0030286
Vascular Disease	UMLS:C0042373
Phosphorus Metabolism Disorders	UMLS:C0031707
Digestive Disease	UMLS:C0017178
Disease, Infectious	UMLS:C0009450
Due to	UMLS:C0678226
metabolic disorder	UMLS:C0025517
DISORDER TESTICLE	UMLS:C0039584
Nervous System Disease	UMLS:C0027765
Adipose tissues--Tumors	UMLS:C0206631
Upper respiratory inflammation due to fumes and vapors	UMLS:C0155896
Ear Disorder	UMLS:C0013447
Urinary Tract Disorder	UMLS:C0042075
VASCULAR PROBLEM, NOS	UMLS:C0042373
Psychiatric Disease	UMLS:C0004936
sarcoidosis	UMLS:C0036202
conditions ear	UMLS:C0013447
Polyp(s)	UMLS:C0032584
Peritoneum--Diseases	UMLS:C0031142
Rotor Type Hyperbilirubinemia	UMLS:C0220991
disorders gastrointestinal tract	UMLS:C0017178
of spleen disease	UMLS:C0037997
sleep disturbances	UMLS:C0851578
cardiovascular disorders	UMLS:C0007222
cardiac disorder	UMLS:C0018799
hodgkin's disease	UMLS:C0019829
Unspecified lymphoid leukemia	UMLS:C0023448
Hodgkin's granuloma	UMLS:C0019829
disorder testes	UMLS:C0039584
disease nutritional	UMLS:C3714509
Mesothelial Neoplasms	UMLS:C3714739
Pituitary disease	UMLS:C0032002
circulatory disorders	UMLS:C0728936
Lymph Vessel Tumor	UMLS:C0206619
circulatory system diseases	UMLS:C0728936
arterial disorders	UMLS:C0852949
diseases neonatal	UMLS:C0021290
Bladder Disorders	UMLS:C0005686
Pericardial Disorders	UMLS:C0265122
disorder ears	UMLS:C0013447
BONE DISORDER (NOS)	UMLS:C0005940
diatheses	UMLS:C0012655
disorders glands parathyroid	UMLS:C0030517
disease caused by microorganism	UMLS:C0009450
Urea Cycle Metabolism Disorder	UMLS:C0154246
Pituitary Diseases	UMLS:C0032002
Cancer of lymphatic system	UMLS:C0024299
SLEEP DISORDER	UMLS:C0851578
Tumor, Trophoblastic	UMLS:C0041182
biliary tract diseases	UMLS:C0005424
cardiac diseases	UMLS:C0018799
not applicable	UMLS:C1272460
disease of skin	UMLS:C0037274
bronchial disease	UMLS:C0006261
Lymphocytic leukemia	UMLS:C0023448
Amino Acid Metabolism, Inborn Error	UMLS:C0002514
Oncological abnormality	UMLS:C0027651
Testicular Diseases	UMLS:C0039584
Appetite Disorders	UMLS:C0003621
lymphogranulomatosis (malignant)	UMLS:C0019829
encephalopathy hepatic	UMLS:C0019151
Disease, Respiratory Tract	UMLS:C0035242
History of Other Hematologic Disorder	UMLS:C5669529
cardiovascular system diseases	UMLS:C0007222
Crystalline Arthritides	UMLS:C0152087
NEUROLOGIC DISORDER NOS	UMLS:C0027765
behavior illness	UMLS:C0037051
Blood Diseases	UMLS:C0018939
Temporomandibular joint--Diseases	UMLS:C0039494
BONE NEOPLASM	UMLS:C0005967
liver cell damage	UMLS:C0151763
diseases gynaecological	UMLS:C0017411
RECTAL DISORDER	UMLS:C0034882
Adnexal Tumor of the Skin	UMLS:C0345988
microbial colonization	UMLS:C0009450
Hyperbilirubinemia, Rotor Type	UMLS:C0220991
of the endocrine diseases system	UMLS:C0014130
VALVULAR HEART DISEASE	UMLS:C0018824
Etiology aspects	UMLS:C0015127
Parathyroid Diseases	UMLS:C0030517
veins diseases	UMLS:C0235522
Neurologic Degenerative Conditions	UMLS:C0524851
sleep disorder	UMLS:C0851578
disorder alcoholism	UMLS:C0001973
Temporomandibular disorders	UMLS:C0039494
metabolic disease	UMLS:C0025517
pleural disorders	UMLS:C0032226
anterior cell diseases horn	UMLS:C0154681
genetics disease	UMLS:C0019247
Malignant neoplasm without specification of site	UMLS:C0006826
CALCIUM DISORDER	UMLS:C0302590
LEUKEMIA GRANULOCYTIC	UMLS:C0023470
digestive disease	UMLS:C0012242
acinic cell tumor	UMLS:C0334390
A patient with severe systemic disease that is a constant threat to life	UMLS:C0973440
eyelid diseases	UMLS:C0015423
Neurologic Disorder, Degenerative	UMLS:C0524851
amino acidopathy	UMLS:C0002514
diseases urologic	UMLS:C0042075
ROTOR SYNDROME	UMLS:C0220991
DISORDER PLATELET	UMLS:C0005818
disorder of voice	UMLS:C0042940
anterior horn cell disease	UMLS:C0154681
bowel dysfunction	UMLS:C0021831
breast disorders	UMLS:C0006145
lymphatic diseases	UMLS:C0024228
Pediatric Disorder	UMLS:C0679381
Blood Vessel Tumors	UMLS:C4722524
disease type	UMLS:C0457464
hodgkin disease	UMLS:C0019829
Myelodysplastic Neoplasm	UMLS:C3463824
disorder pituitary	UMLS:C0032002
disorder lips	UMLS:C0023760
angiopathy	UMLS:C0042373
malignancies	UMLS:C0006826
Tumor, Glial Cell	UMLS:C0017638
